C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-15;2;276654
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-65;1;71
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-10;ERVEXTAGE5-65;2;27
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-15;1;208942
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-15;2;196899
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-65;1;105
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-30;ERVEXTAGE5-65;2;57
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-15;1;14620
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-15;2;8171
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-65;1;206
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-40;ERVEXTAGE5-65;2;31
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-50;ERVEXTAGE5-15;1;9784
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-50;ERVEXTAGE5-15;2;9170
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-50;ERVEXTAGE5-65;1;3
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-15;1;303668
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-15;2;241718
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-30;ERVEXTAMST4-90;ERVEXTAGE5-65;1;211
