code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
ERVEXTAGE5-15;15 bis 64 Jahre;;15 to 64 years;;;;;;
ERVEXTAGE5-65;65 Jahre und älter;;65 years and over;;;;;;
