code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
2008;2008/09;;2008/09;;;;;;
2009;2009/10;;2009/10 ;;;;;;
2010;2010/11;;2010/11;;;;;;
2011;2011/12;;2011/12;;;;;;
2012;2012/13;;2012/13;;;;;;
2013;2013/14;;2013/14;;;;;;
2014;2014/15;;2014/15;;;;;;
2015;2015/16;;2015/16;;;;;;
